formacao,modulo,aula,lesson_id,chars,found_acronyms
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,O que é a mediação imobiliária?,1,4582,CMI;IMPIC
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,"Agência, empresa de mediação e consultor",12,1750,
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,Como funciona uma transação do início ao fim,13,2075,CMI;CPCV
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Construir uma rotina de prospeção,14,1913,
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Criar uma rotina de prospeção profissional,3,1940,
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Primeiro contacto com um proprietário,15,1925,
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Organização de leads e follow-up,16,1910,
Iniciante · Entrar no Imobiliário,Angariação,Preparar uma angariação,8,1784,
Iniciante · Entrar no Imobiliário,Angariação,Preparar a reunião de angariação,17,1811,
Iniciante · Entrar no Imobiliário,Angariação,Checklist inicial do imóvel,18,1796,
Iniciante · Entrar no Imobiliário,Angariação,"Expectativas, preço e compromisso",19,1814,
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,O que é o Contrato de Mediação Imobiliária,20,2346,CMI
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Compreender o CMI,7,2271,CMI
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Exclusividade e remuneração,21,2301,CMI
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Comunicação durante a angariação,22,2196,CMI;RAN
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,"Preço, valor e comparáveis",4,1903,
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,"Preço pedido, preço de mercado e valor",23,1939,
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,Áreas e preço por metro quadrado,24,1921,
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,Construir uma análise comparativa,25,1726,
Iniciante · Entrar no Imobiliário,Documentação básica,Certidão permanente do registo predial,26,1847,
Iniciante · Entrar no Imobiliário,Documentação básica,Documentos que deve reconhecer,6,1708,
Iniciante · Entrar no Imobiliário,Documentação básica,Caderneta predial e matriz,27,2539,VPT
Iniciante · Entrar no Imobiliário,Documentação básica,Certificado energético e outros documentos,28,1797,SCE
Iniciante · Entrar no Imobiliário,Preparação e promoção,Preparar o imóvel antes de anunciar,29,1730,
Iniciante · Entrar no Imobiliário,Preparação e promoção,Preparar um imóvel para o mercado,10,1722,
Iniciante · Entrar no Imobiliário,Preparação e promoção,Escrever anúncios sem induzir em erro,30,1738,
Iniciante · Entrar no Imobiliário,Preparação e promoção,Plano de comercialização,31,1686,
Iniciante · Entrar no Imobiliário,Compradores e visitas,Qualificar compradores e conduzir visitas,5,1754,
Iniciante · Entrar no Imobiliário,Compradores e visitas,Qualificar um comprador,32,1682,
Iniciante · Entrar no Imobiliário,Compradores e visitas,Preparar e conduzir visitas,33,1698,
Iniciante · Entrar no Imobiliário,Compradores e visitas,Comprador com financiamento,34,1698,
Iniciante · Entrar no Imobiliário,Propostas e negociação,Como receber uma proposta,35,1691,
Iniciante · Entrar no Imobiliário,Propostas e negociação,Receber e apresentar propostas,9,1711,
Iniciante · Entrar no Imobiliário,Propostas e negociação,Contrapropostas e negociação,36,1703,
Iniciante · Entrar no Imobiliário,Propostas e negociação,Da aceitação ao próximo passo,37,1707,
