formacao,modulo,aula,lesson_id,original_chars,revised_chars,source_url,status
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,O que é a mediação imobiliária?,1,1124,2778,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,"Agência, empresa de mediação e consultor",12,1005,2841,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Entrar no mundo imobiliário,Como funciona uma transação do início ao fim,13,904,2222,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Construir uma rotina de prospeção,14,786,2795,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Criar uma rotina de prospeção profissional,3,517,2858,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Primeiro contacto com um proprietário,15,824,2823,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Prospeção e primeiros clientes,Organização de leads e follow-up,16,801,2788,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Angariação,Preparar uma angariação,8,540,2705,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Angariação,Preparar a reunião de angariação,17,811,2768,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Angariação,Checklist inicial do imóvel,18,822,2733,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Angariação,"Expectativas, preço e compromisso",19,739,2775,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,O que é o Contrato de Mediação Imobiliária,20,970,2860,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Compreender o CMI,7,528,2685,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Exclusividade e remuneração,21,936,2755,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,CMI e relação com o proprietário,Comunicação durante a angariação,22,731,2198,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,"Preço, valor e comparáveis",4,545,2741,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,"Preço pedido, preço de mercado e valor",23,783,2825,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,Áreas e preço por metro quadrado,24,819,2783,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Análise do imóvel e preço,Construir uma análise comparativa,25,824,2790,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Documentação básica,Certidão permanente do registo predial,26,912,3009,https://www.predialonline.pt/PredialOnline/faq_input.action,REESCRITA
Iniciante · Entrar no Imobiliário,Documentação básica,Documentos que deve reconhecer,6,562,2763,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Documentação básica,Caderneta predial e matriz,27,856,2956,https://info.portaldasfinancas.gov.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Documentação básica,Certificado energético e outros documentos,28,991,2205,https://www.sce.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Preparação e promoção,Preparar o imóvel antes de anunciar,29,789,2800,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Preparação e promoção,Preparar um imóvel para o mercado,10,529,2786,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Preparação e promoção,Escrever anúncios sem induzir em erro,30,808,2814,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,Preparação e promoção,Plano de comercialização,31,702,2723,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Compradores e visitas,Qualificar compradores e conduzir visitas,5,554,2842,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Compradores e visitas,Qualificar um comprador,32,749,2716,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Compradores e visitas,Preparar e conduzir visitas,33,699,2744,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Compradores e visitas,Comprador com financiamento,34,816,2753,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2017-107572846,REESCRITA
Iniciante · Entrar no Imobiliário,Propostas e negociação,Como receber uma proposta,35,692,2731,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Propostas e negociação,Receber e apresentar propostas,9,525,2766,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Propostas e negociação,Contrapropostas e negociação,36,718,2752,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,Propostas e negociação,Da aceitação ao próximo passo,37,747,2759,https://diariodarepublica.pt/,REESCRITA
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",Do CPCV à conclusão do negócio,2,554,2800,https://diariodarepublica.pt/dr/detalhe/lei/15-2013-257806,REESCRITA
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",O que é o CPCV,38,954,2688,https://diariodarepublica.pt/dr/detalhe/decreto-lei/47344-1966-477358,REESCRITA
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda","Sinal, prazos e condições",39,900,2765,https://diariodarepublica.pt/dr/detalhe/decreto-lei/47344-1966-477358,REESCRITA
Iniciante · Entrar no Imobiliário,"CPCV, escritura e pós-venda",Preparação do ato definitivo e pós-venda,40,936,2870,https://justica.gov.pt/Servicos/Balcao-Casa-Pronta,REESCRITA
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,Terreno urbanizável: expressão comercial vs. classificação do solo,194,1082,2266,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,Como começar uma análise de terreno,195,785,2204,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,O que é um terreno urbanizável?,O que nunca prometer ao proprietário ou comprador,196,728,2967,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Como saber se pode construir,A sequência correta para avaliar edificabilidade,197,652,2898,https://diariodarepublica.pt/dr/detalhe/decreto-regulamentar/15-2015-70055492,REESCRITA
Terrenos e Potencial Construtivo,Como saber se pode construir,Edificabilidade não é apenas índice de construção,198,650,2964,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2015-105297982,REESCRITA
Terrenos e Potencial Construtivo,Como saber se pode construir,Quando pedir apoio técnico,199,632,2744,https://diariodarepublica.pt/dr/detalhe/decreto-lei/108-2026-1128002421,REESCRITA
Terrenos e Potencial Construtivo,PDM na prática,Como ler o PDM sem ser urbanista,200,597,2285,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,PDM na prática,"Classificação, qualificação e categoria de espaço",201,560,2950,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,PDM na prática,Planos diferentes podem afetar o mesmo terreno,202,597,2226,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",RAN: o que significa na análise de um terreno,203,643,2224,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",REN: atenção à alteração de 2026,204,566,2198,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,"RAN, REN e condicionantes",Outras condicionantes que podem mudar o negócio,205,617,2947,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Infraestruturas e acessos,Acesso: existir caminho não basta,206,538,2790,https://diariodarepublica.pt/dr/detalhe/decreto-lei/108-2026-1128002421,REESCRITA
Terrenos e Potencial Construtivo,Infraestruturas e acessos,"Água, saneamento, eletricidade e telecomunicações",207,556,3313,https://diariodarepublica.pt/dr/detalhe/decreto-lei/108-2026-1128002421,REESCRITA
Terrenos e Potencial Construtivo,Infraestruturas e acessos,Topografia e forma da parcela,208,521,2762,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/2015-105297982,REESCRITA
Terrenos e Potencial Construtivo,Loteamento,O que é uma operação de loteamento,209,606,3252,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
Terrenos e Potencial Construtivo,Loteamento,O que conferir num lote existente,210,546,3245,https://diariodarepublica.pt/dr/legislacao-consolidada/decreto-lei/1999-34567875-45232375,REESCRITA
